"User Institution ID","User Institution Name","latitude","longitude","active_person_count","total_ace","running_job_count"
"11","Kennesaw State U - Kennesaw State University","34.0385060000","-84.5848150000","1","11125.959198951","3"
"15","IUPU Fort Wayne - Indiana University-Purdue University Fort Wayne","41.0644740000","-85.1738570000","18","5211.054962879","1"
"16","Valparaiso U - Valparaiso University","41.4624650000","-87.0430600000","7","532.909102252","1"
"21","U Mass, Lowell - University of Massachusetts, Lowell","42.6560000000","-71.3303120000","8","3779747.208185164","17"
"28","U Montana - University of Montana","46.8611910000","-113.9845020000","1","742484.871171002","1"
"32","Barnard College - Barnard College","40.8095190000","-73.9635510000","2","6.363466217","1"
"35","SUNY Buffalo - SUNY at Buffalo","42.9559680000","-78.8205320000","8","453789.256971738","12"
"41","St Vincent College - Saint Vincent College","40.2948870000","-79.4061660000","1","242.310811653","4"
"49","WV State U - West Virginia State University","38.3828150000","-81.7662640000","12","1096.138249422","1"
"57","Tuskegee U - Tuskegee University","32.4305780000","-85.7039880000","1","322026.701603343","1"
"58","U Alabama - University of Alabama","33.2094380000","-87.5414930000","10","3199995.258593798","200"
"59","U Alabama, Birmingham - University of Alabama, Birmingham","33.5019030000","-86.8048300000","4","279122.715078919","10"
"60","U Alabama, Huntsville - University of Alabama, Huntsville","34.7265230000","-86.6396956000","6","4422314.804416994","2"
"61","U South Alabama - University of South Alabama","30.6965030000","-88.1796710000","3","182493.979661862","1"
"63","Arizona State U - Arizona State University","33.4197750000","-111.9294500000","22","3079856.385301640","21"
"64","U Arizona - University of Arizona","32.2316470000","-110.9566570000","11","3857873.479318734","1"
"65","Arkansas State U - Arkansas State University","35.8428240000","-90.6802190000","1","61038.742279618","8"
"67","U Arkansas - University of Arkansas","36.0684140000","-94.1688600000","5","4454651.194709588","1"
"68","Caltech - California Institute of Technology","34.1367810000","-118.1252660000","39","17555330.089213300","44"
"70","CSU-Fullerton - California State University-Fullerton","33.8805560000","-117.8852780000","6","718863.185476324","1"
"72","CSU-Long Beach - California State University-Long Beach","33.7830220000","-118.1128580000","1","106.806413375","1"
"73","CSU-Los Angeles - California State University-Los Angeles","34.0666670000","-118.1677780000","90","33115.852517312","3"
"74","CSU-Dominguez Hills - California State University-Dominguez Hills","33.8634680000","-118.2531940000","2","196.394035810","1"
"75","CSU-San Bernardino - California State University-San Bernardino","34.1748019000","-117.3190430000","9","294.591053715","1"
"78","Cal Poly - California Polytechnic State University, San Luis Obispo","35.3001130000","-120.6615970000","19","69043.483685819","6"
